RV32F,F Standard Extension for Single-Precision Floating-Point,2.2
xlen,32
""
Extension,Subset,Instruction,Description,Covergroup,Coverpoint,Coverage,Pass/Fail Criteria,Test Type,Coverage Method
RV32F,,fadd.s,,fadd_s_cg,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fd,FD (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs1,FS1 (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs2,FS2 (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_frm,Floating Point FRM (Rounding mode) given as an operand,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_frm,"Value of fcsr CSR, frm field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_fflags,"Value of fcsr CSR, fflags field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_frm_frm,"Value of frm CSR, frm field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fflags_fflags,"Value of fflags CSR, fflags field",Check against Reference Model,Constrained-Random,Functional Coverage
RV32F,,fclass.s,,fclass_s_cg,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd,RD (GPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs1,FS1 (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
RV32F,,fcvt.s.w,,fcvt_s_w_cg,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fd,FD (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1,RS1 (GPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_frm,Floating Point FRM (Rounding mode) given as an operand,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_frm,"Value of fcsr CSR, frm field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_fflags,"Value of fcsr CSR, fflags field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_frm_frm,"Value of frm CSR, frm field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fflags_fflags,"Value of fflags CSR, fflags field",Check against Reference Model,Constrained-Random,Functional Coverage
RV32F,,fcvt.s.wu,,fcvt_s_wu_cg,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fd,FD (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rs1,RS1 (GPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_frm,Floating Point FRM (Rounding mode) given as an operand,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_frm,"Value of fcsr CSR, frm field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_fflags,"Value of fcsr CSR, fflags field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_frm_frm,"Value of frm CSR, frm field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fflags_fflags,"Value of fflags CSR, fflags field",Check against Reference Model,Constrained-Random,Functional Coverage
RV32F,,fcvt.w.s,,fcvt_w_s_cg,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd,RD (GPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs1,FS1 (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_frm,Floating Point FRM (Rounding mode) given as an operand,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_frm,"Value of fcsr CSR, frm field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_fflags,"Value of fcsr CSR, fflags field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_frm_frm,"Value of frm CSR, frm field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fflags_fflags,"Value of fflags CSR, fflags field",Check against Reference Model,Constrained-Random,Functional Coverage
RV32F,,fcvt.wu.s,,fcvt_wu_s_cg,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd,RD (GPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs1,FS1 (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_frm,Floating Point FRM (Rounding mode) given as an operand,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_frm,"Value of fcsr CSR, frm field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_fflags,"Value of fcsr CSR, fflags field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_frm_frm,"Value of frm CSR, frm field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fflags_fflags,"Value of fflags CSR, fflags field",Check against Reference Model,Constrained-Random,Functional Coverage
RV32F,,fdiv.s,,fdiv_s_cg,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fd,FD (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs1,FS1 (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_fs2,FS2 (FPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_frm,Floating Point FRM (Rounding mode) given as an operand,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_frm,"Value of fcsr CSR, frm field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fcsr_fflags,"Value of fcsr CSR, fflags field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_frm_frm,"Value of frm CSR, frm field",Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_csr_fflags_fflags,"Value of fflags CSR, fflags field",Check against Reference Model,Constrained-Random,Functional Coverage
RV32F,,feq.s,,feq_s_cg,,,,,
,,,,,cp_asm_count,Number of times instruction is executed,Check against Reference Model,Constrained-Random,Functional Coverage
,,,,,cp_rd,RD (GPR) register assignment,Check against Reference Model,Constrained-Random,Functional Coverage
